code_parametre;cas;ppp_usage;ppp_usages_typiques;statut_ue;date_expiration;autorisation_france;mentions;pnec_ugl;mentions_danger
2017;81777-89-1;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Approuvée;2026-09-30;Oui;;18.5;H302 H332 H400 H410
5558;57754-85-5;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Approuvée;2036-09-30;Oui;;;
1810;1702-17-6;herbicide;"Maïs, Désherbage; Betterave potagère, Désherbage; Forêt, Désherbage, Avt Plantation; Lin, Désherbage; Sorgho, Désherbage (1); Crucifères oléagineuses, Désherbage; Betterave industrielle et fourragère, Désherbage; Avoine, Désherbage";Approuvée;2036-09-30;Oui;;300.0;H318
2018;99607-70-2;herbicide;"Seigle, Désherbage; Blé, Désherbage; Porte graine, Désherbage";;;;;25.0;H317 H373 H400 H410
6389;210880-92-5;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2019-01-31;;;;
"1640
5275";"95-48-7
1319-77-3";fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;;;;;
1640;95-48-7;autre;"Autre usage phytopharmaceutique ; consulter e-phy/INRS pour le détail.";;;;;;
5561;20427-59-2;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Approuvée;2029-06-30;Non;candidat à la substitution;0.37;H302 H318 H330 H400 H410
5562;1332-65-6;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Approuvée;2029-06-30;Non;candidat à la substitution;0.37;H301 H332 H400 H410
5563;1317-39-1;fongicide;"Amandier, Trt Part.Aer., Cloque(s); Amandier, Trt Part.Aer., Coryneum; Amandier, Trt Part.Aer., Moniliose(s); Carotte, Trt Part.Aer., Bactériose(s); Carotte, Trt Part.Aer., Champignons (pythiacées); Carotte, Trt Part.Aer., Maladies des taches brunes; Cerisier, Trt Part.Aer., Anthracnose(s); Cerisier, Trt Part.Aer., Bactériose(s)";Approuvée;2029-06-30;Non;candidat à la substitution;0.37;H302 H318 H332 H400 H410
5565;156-62-7;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Non approuvée;;;;;
5566;420-04-2;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Non approuvée;;;;;
